ambiguity_type,resolution,resolution_note,player_id,db_name,db_matches,db_intl_matches,db_club_matches,db_last_match,db_team_type,db_teams,db_reg_name_count,sheet_player_id,sheet_batting_name,sheet_country,sheet_major_teams,sheet_dob,sheet_intl_innings,sheet_club_t20_innings,sheet_playercard_url
A_db_name_collision,,,0bf15e52,Harmeet Singh,119,58,61,2026-07-02 00:00:00,international/club,Sharjah Warriorz|Sudur Paschim Royals|Rajasthan Royals|Tripura|United States of America,2.0,391128,Harmeet Singh,India,Deccan Chargers|Punjab Kings|Punjab,1987-10-09T00:00Z,0,62,https://www.espncricinfo.com/ci/content/player/391128.html
A_db_name_collision,,,0bf15e52,Harmeet Singh,119,58,61,2026-07-02 00:00:00,international/club,Sharjah Warriorz|Sudur Paschim Royals|Rajasthan Royals|Tripura|United States of America,2.0,422847,Harmeet Singh,United States of America,United States of America|Air India Red|Atlanta Riders|Dr DY Patil Sports Academy|India B|India Under-19s|Mumbai|Rajasthan Royals|Rangpur Riders|Rest of India|Seattle Orcas|Seattle Orcas|Sharjah Warriorz|Surrey Jaguars|Tripura|West Zone,1992-09-07T00:00Z,99,132,https://www.espncricinfo.com/ci/content/player/422847.html
C_exact_unique_evidence_failed,,,9339830a,K Hilton,29,0,29,2026-07-02 00:00:00,/club,Northern Knights|North-West Warriors|Munster Reds,1.0,1415029,K Hilton,Ireland,Ireland Under-19s,2005-02-11T00:00Z,0,16,https://www.espncricinfo.com/ci/content/player/1415029.html
C_exact_unique_evidence_failed,,,7067224a,A Leckey,6,0,6,2026-07-02 00:00:00,/club,Northern Knights,1.0,1415030,A Leckey,Ireland,Ireland Under-19s,2006-09-25T00:00Z,0,1,https://www.espncricinfo.com/ci/content/player/1415030.html
A_db_name_collision,,,971cb321,E Jones,185,0,185,2026-07-01 00:00:00,/club,Central Sparks|Thunder|Lancashire Thunder|Manchester Originals|Lancashire,3.0,605681,E Jones,South Africa,Durban's Super Giants|Joburg Super Kings|Lions|Northerns Under-17s|Paarl Royals|Waterkloof High School,1996-08-05T00:00Z,0,115,https://www.espncricinfo.com/ci/content/player/605681.html
B_sheet_name_country_collision,,,f29185a1,Abhishek Sharma,177,49,128,2026-07-01 00:00:00,international/club,Punjab|India|Delhi Daredevils|Sunrisers Hyderabad|Railways,,1131614,Abhishek Sharma,India,Railways,1994-12-20T00:00Z,0,8,https://www.espncricinfo.com/ci/content/player/1131614.html
B_sheet_name_country_collision,,,f29185a1,Abhishek Sharma,177,49,128,2026-07-01 00:00:00,international/club,Punjab|India|Delhi Daredevils|Sunrisers Hyderabad|Railways,,1070183,Abhishek Sharma,India,India|Delhi Capitals|India A|India Under-19s|Punjab|Punjab Under-16s|Punjab Under-19s|Sunrisers Hyderabad,2000-09-04T00:00Z,65,285,https://www.espncricinfo.com/ci/content/player/1070183.html
B_sheet_name_country_collision,,,b0eaaac6,Ali Khan,137,48,89,2026-07-01 00:00:00,international/club,Guyana Amazon Warriors|Karachi Kings|Los Angeles Knight Riders|Khulna Titans|Trinbago Knight Riders,,1511595,Ali Khan,Pakistan,Matabeleland Tuskers,2001-12-05T00:00Z,0,4,https://www.espncricinfo.com/ci/content/player/1511595.html
B_sheet_name_country_collision,,,b0eaaac6,Ali Khan,137,48,89,2026-07-01 00:00:00,international/club,Guyana Amazon Warriors|Karachi Kings|Los Angeles Knight Riders|Khulna Titans|Trinbago Knight Riders,,227757,Ali Khan,Pakistan,Khan Research Labs|Pakistan A|Pakistan Cricket Board Blues|Pakistan Under-19s|Sialkot Stallions|Sialkot Stallions,1989-08-01T00:00Z,0,81,https://www.espncricinfo.com/ci/content/player/227757.html
B_sheet_name_country_collision,,,e94d1dcd,Usman Tariq,48,8,40,2026-07-01 00:00:00,international/club,Birmingham Bears|Trinbago Knight Riders|Pakistan|Desert Vipers|Warwickshire,,1333415,Usman Tariq,Pakistan,Pakistan|Deccan Gladiators|Desert Vipers|Khyber Pakhtunkhwa 2nd XI|Quetta Gladiators|Trinbago Knight Riders,1998-01-01T00:00Z,16,116,https://www.espncricinfo.com/ci/content/player/1333415.html
