tier,db_player_id,db_registry_name,db_teams,sheet_batting_name,sheet_country,sheet_major_teams,sheet_dob,db_matches,db_last_match
F1_normalised_equal,3086f7a4,Mohammad Nawaz (3),Karachi Kings|Rangpur Riders|Pakistan|Multan Sultans,Mohammad Nawaz(3),Pakistan,Pakistan|Colombo Strikers|Edmonton Royals|Hobart Hurricanes|Islamabad United|Karachi Kings|Khulna Tigers|Multan Sultans|National Bank of Pakistan|Pakistan A|Pakistan Under-15s|Pakistan Under-19s|Pakistan Under-23s|Quetta Gladiators|Rajshahi Royals|Rajshahi Warriors|Rangpur Riders|Rawalpindi|Rawalpindi|St Kitts and Nevis Patriots|Toronto Nationals,1994-03-21T00:00Z,293,2026-04-29
F1_normalised_equal,94ed8d37,Aftab Ahmed (2),Denmark,Aftab Ahmed(2),Denmark,Denmark|Denmark Under-13s|Denmark Under-15s|Denmark Under-19s,1990-04-22T00:00Z,22,2021-08-15
F1_normalised_equal,1bf9a8ef,Mohammad Irfan (4),Lahore Qalandars|Quetta Gladiators|Karachi Kings,Mohammad Irfan(4),Pakistan,Karachi Kings|Multan Sultans|Quetta Gladiators|Water and Power Development Authority,1995-05-15T00:00Z,20,2019-02-20
F1_normalised_equal,89ce57a8,S Fouché,Namibia,S Fouche,Namibia,Namibia|Boland Under-15s|Namibia Under-19s,2000-02-14T00:00Z,15,2025-03-13
F1_normalised_equal,e191bf68,Rameez Raja (2),Pakistan|Quetta Gladiators|Barisal Burners,Rameez Raja(2),Pakistan,Pakistan|Barisal Burners|Karachi Blues|Karachi Whites|Karachi Harbour|Karachi Blues|Pakistan A|Pakistan Under-19s|Quetta Gladiators|Sindh|State Bank of Pakistan,1987-07-31T00:00Z,10,2018-03-14
F1_normalised_equal,e9aaf862,M De Villiers,Joburg Super Kings,M de Villiers,South Africa,Joburg Super Kings|Wynberg Boys' High School,2000-11-21T00:00Z,10,2026-01-22
F3_initials_surname_country,c58b0108,Mehedi Hasan Miraz,Bangladesh|Rajshahi Kings|Khulna Tigers|Chattogram Challengers,Mehidy Hasan Miraz,Bangladesh,Bangladesh|Bangladesh Under-19s|Chattogram Challengers|Fortune Barishal|Kalabagan Cricket Academy|Khulna Tigers|Lahore Qalandars|Rajshahi Royals|Sylhet Titans|Trinbago Knight Riders,1997-10-25T00:00Z,307,2026-06-11
F3_initials_surname_country,1274d7ab,Nazmul Hossain Shanto,Fortune Barishal|Khulna Titans|Comilla Victorians|Sylhet Strikers,Najmul Hossain Shanto,Bangladesh,Bangladesh|Bangladesh Under-19s|Fortune Barishal|Kalabagan Cricket Academy|Khulna Tigers|Minister Rajshahi|Rajshahi Warriors|Sylhet Strikers,1998-08-25T00:00Z,241,2026-06-28
F3_initials_surname_country,7c503806,J Botha,Trinidad & Tobago Red Steel|Delhi Daredevils|Sydney Sixers|Africa XI,J Botha,South Africa,South Africa|Adelaide Strikers|Africa XI|Border|Delhi Capitals|Eastern Province|Hobart Hurricanes|Kolkata Knight Riders|New York Warriors|Northamptonshire|Rajasthan Royals|South Australia|Southern Superstars|Sydney Sixers|Trinbago Knight Riders|Warriors,1982-05-02T00:00Z,237,2021-01-07
F3_initials_surname_country,72b245dd,Anamul Haque,Fortune Barishal|Comilla Victorians|Durbar Rajshahi|Dhaka Platoon,Ariful Haque,Bangladesh,Bangladesh|Bangladesh Under-19s|Bangladesh Under-23s|Barishal Division|Comilla Victorians|Dhaka Dominators|Dhaka Dominators|Gemcon Khulna|Khelaghar Samaj Kallyan Samity|Rangpur Division|Sylhet Strikers,1992-11-18T00:00Z,195,2025-06-25
F3_initials_surname_country,dcdb87f2,Bilal Khan,Oman|United States of America|Chattogram Challengers,Bilal Khan,Oman,Oman|Chattogram Challengers|Durbar Rajshahi,1987-04-10T00:00Z,151,2024-07-24
F3_initials_surname_country,79b4839e,Ahmed Raza,United Arab Emirates,Ahmed Raza,United Arab Emirates,United Arab Emirates|Edmonton Royals|Gujarat Giants,1988-10-10T00:00Z,117,2022-11-18
F3_initials_surname_country,02e83ac5,Naeem Islam,Bangladesh|Sylhet Royals|Chittagong Vikings|Chittagong Kings,Nahidul Islam,Bangladesh,Comilla Victorians|Gazi Group Chattogram|Khulna Division|Khulna Tigers|Legends of Rupganj|Rajshahi Royals|Dhanmondi Sports Club|Sylhet Strikers,1993-07-19T00:00Z,107,2025-02-07
F3_initials_surname_country,436c763a,BJ McMullen,Abu Dhabi Knight Riders|Dubai Capitals|Scotland|Hampshire,B McMullen,Scotland,Scotland|Abu Dhabi Knight Riders|Dubai Capitals|KwaZulu-Natal Inland Under-17s|Surrey Jaguars,1999-10-18T00:00Z,101,2026-05-20
F3_initials_surname_country,c27518d2,Ziaur Rahman,Chittagong Vikings|Khulna Tigers|Chattogram Royals|Duronto Rajshahi,Ziaur Rahman,Bangladesh,Bangladesh|Bangladesh A|Bangladesh Cricket Board Academy|Bangladesh Under-19s|Bangladesh XI|Barishal Division|Chattogram Challengers|Chattogram Royals|Chittagong Kings|Rajshahi Royals|Fortune Barishal|Gazi Group Chattogram|Khulna Division|Khulna Tigers|Northern Warriors|South Zone (Bangladesh),1986-12-02T00:00Z,95,2025-12-26
F2_surname_plus_country,c58b0108,Mehedi Hasan Miraz,Bangladesh|Rajshahi Kings|Khulna Tigers|Chattogram Challengers,Mehidy Hasan Miraz,Bangladesh,Bangladesh|Bangladesh Under-19s|Chattogram Challengers|Fortune Barishal|Kalabagan Cricket Academy|Khulna Tigers|Lahore Qalandars|Rajshahi Royals|Sylhet Titans|Trinbago Knight Riders,1997-10-25T00:00Z,307,2026-06-11
F2_surname_plus_country,afe57f7a,SC Williams,Zimbabwe|Tshwane Spartans|Durdanto Dhaka|Sharjah Warriors,SC Williams,Zimbabwe,Zimbabwe|Brothers Union|Comilla Victorians|Durdanto Dhaka|Galle Marvels|Matabeleland|Matabeleland Tuskers|Sharjah Warriorz|St Lucia Kings|Zimbabwe A|Zimbabwe Board XI|Zimbabwe Provinces|Zimbabwe Select XI|Zimbabwe Under-19s|Zimbabwe XI,1986-09-26T00:00Z,252,2025-09-18
F2_surname_plus_country,3979b5e0,L Tucker,Leinster Lightning|Lahore Qalandars|Gulf Giants|Trinbago Knight Riders,LJ Tucker,Ireland,Ireland|Colombo Strikers|Gulf Giants|Ireland A|Ireland Under-19s|Lahore Qalandars|Leinster Lightning|MI Emirates|Paarl Royals|Trinbago Knight Riders,1996-09-10T00:00Z,245,2026-06-30
F2_surname_plus_country,1274d7ab,Nazmul Hossain Shanto,Fortune Barishal|Khulna Titans|Comilla Victorians|Sylhet Strikers,Najmul Hossain Shanto,Bangladesh,Bangladesh|Bangladesh Under-19s|Fortune Barishal|Kalabagan Cricket Academy|Khulna Tigers|Minister Rajshahi|Rajshahi Warriors|Sylhet Strikers,1998-08-25T00:00Z,241,2026-06-28
F2_surname_plus_country,5bfdc77a,James Bracey,Gloucestershire|England,JR Bracey,England,England|England Lions|Gloucestershire|Gloucestershire 2nd XI,1997-05-03T00:00Z,234,2026-07-01
