resolution,resolution_note,player_id,db_name,db_matches,db_intl_matches,db_club_matches,db_last_match,db_team_type,db_teams,sheet_player_id,sheet_batting_name,sheet_country,sheet_major_teams,sheet_dob,sheet_intl_innings,sheet_club_t20_innings,sheet_playercard_url
,,021ac4dd,H Aggarwal,3,3,0,2026-07-10,international,Estonia,,,,,,,,
,,05e417e7,Meghana Lakayil,2,2,0,2026-07-12,international,Germany,,,,,,,,
,,1ce0fb02,K Simone-Kingsley,2,2,0,2026-07-10,international,Germany,,,,,,,,
,,32009b6a,Furkan Tuskan,2,2,0,2026-07-10,international,Turkey,,,,,,,,
,,3e331df6,Matthew Walker,2,2,0,2026-07-10,international,Gibraltar,,,,,,,,
,,4b437302,Yukthi Suresh,1,1,0,2026-07-11,international,Germany,,,,,,,,
,,51429d1d,CJ Bruell,2,2,0,2026-07-11,international,Germany,,,,,,,,
,,527017ba,O Brinsden,1,0,1,2026-07-12,club,Lancashire,,,,,,,,
,,6264c16e,S Thomas,1,0,1,2026-07-12,club,Lancashire,,,,,,,,
,,656b696c,Gargi Arya,1,1,0,2026-07-11,international,Germany,,,,,,,,
,,6b7a90f5,N Sonne-Rudd,3,3,0,2026-07-12,international,Denmark,,,,,,,,
,,71f436db,Mohamed Roshan,1,1,0,2026-07-08,international,Gibraltar,,,,,,,,
,,7422ca0d,OR Cunliffe,1,0,1,2026-07-12,club,Lancashire,,,,,,,,
,,86e612f2,R Aggarwal,1,1,0,2026-07-08,international,Estonia,,,,,,,,
,,98062446,Anthony Hillman,2,2,0,2026-07-10,international,Gibraltar,,,,,,,,
,,a557333b,VO Lawes,1,1,0,2026-07-11,international,West Indies,,,,,,,,
,,b075b35d,Aanvi Kishore,3,3,0,2026-07-12,international,Germany,,,,,,,,
,,b2e15fa9,Mertcan Filiz,2,2,0,2026-07-10,international,Turkey,,,,,,,,
,,f31740ce,H Pattenden,3,3,0,2026-07-10,international,Estonia,,,,,,,,
,,fb5a5fe3,Mertcan Donmez,1,1,0,2026-07-10,international,Turkey,,,,,,,,
,,a9516320,Alexander Hillman,1,1,0,2026-07-12,international,Gibraltar,,,,,,,,
,,c9a05046,Omer Kutuk,1,1,0,2026-07-12,international,Turkey,,,,,,,,
,,095ceec4,AS Sawant,2,0,2,2026-07-26,club,Middlesex,,,,,,,,
,,0b189b5e,Usman Tariq,1,0,1,2026-07-24,club,Birmingham Phoenix,43509,Usman Tariq,Pakistan,Allied Bank|Bahawalpur|Balochistan|Legends of Rupganj|Lancashire 2nd XI|Leicestershire|Leicestershire 2nd XI|Multan|Multan|Surrey 2nd XI,1983-12-28T00:00Z,0,12,https://www.espncricinfo.com/ci/content/player/43509.html
,,0b189b5e,Usman Tariq,1,0,1,2026-07-24,club,Birmingham Phoenix,1333415,Usman Tariq,Pakistan,Pakistan|Deccan Gladiators|Desert Vipers|Khyber Pakhtunkhwa 2nd XI|Quetta Gladiators|Trinbago Knight Riders,1998-01-01T00:00Z,16,116,https://www.espncricinfo.com/ci/content/player/1333415.html
,,0b22ec0f,G Tuskan,4,4,0,2026-07-28,international,Turkey,,,,,,,,
,,0c015489,JM Connell,3,0,3,2026-07-26,club,Somerset,,,,,,,,
